2231.75,10,10,0,
2231.76,10,10,0,
2231.77,10,10,0,
2231.78,10,10,0,
2231.79,10,10,0,
2231.8,10,10,0,
2231.81,10,10,0,
2231.82,10,10,0,
2231.83,10,10,0,
2231.85,10,10,0,
2231.87,10,10,0,
2231.9,10,10,0,
2231.91,10,10,0,
2231.92,10,10,0,
2231.93,10,10,0,
2231.95,10,10,0,
2231.97,10,10,0,
2232,10,10,0,
2232.01,10,10,0,
2232.02,10,10,0,
2232.03,10,10,0,
2232.04,10,10,0,
2232.07,10,10,0,
2232.1,10,10,0,
2232.14,10,10,0,
2232.17,10,10,0,
2232.18,10,10,0,
2232.19,10,10,0,
2232.2,10,10,0,
2232.24,10,10,0,
2232.28,10,10,0,
2232.31,10,10,0,
2232.32,10,10,0,
2232.34,10,10,0,
2232.39,10,10,0,
2232.42,10,10,0,
2232.43,10,10,0,
2232.45,10,10,0,
2232.47,10,10,0,
2232.48,10,10,0,
2232.51,10,10,0,
2232.56,10,10,0,
2232.58,10,10,0,
2232.6,10,10,0,
2232.62,10,10,0,
2232.64,10,10,0,
2232.66,10,10,0,
2232.67,10,10,0,
2232.68,10,10,0,
2232.69,10,10,0,
2232.73,10,10,0,
2232.76,10,10,0,
2232.77,10,10,0,
2232.79,10,10,0,
2232.82,10,10,0,
2232.83,10,10,0,
2232.86,10,10,0,
2232.87,10,10,0,
2232.88,10,10,0,
2232.89,10,10,0,
2232.93,10,10,0,
2232.97,10,10,0,
2232.99,10,10,0,
2233.01,10,10,0,
2233.03,10,10,0,
2233.07,10,10,0,
2233.1,10,10,0,
2233.14,10,10,0,
2233.17,10,10,0,
2233.18,10,10,0,
2233.19,10,10,0,
2233.2,10,10,0,
2233.21,10,10,0,
2233.24,10,10,0,
2233.29,10,10,0,
2233.3,10,10,0,
2233.31,10,10,0,
2233.33,10,10,0,
2233.35,10,10,0,
2233.38,10,10,0,
2233.39,10,10,0,
2233.4,10,10,0,
2233.41,10,10,0,
2233.45,10,10,0,
2233.49,10,10,0,
2233.5,10,10,0,
2233.51,10,10,0,
2233.52,10,10,0,
2233.53,10,10,0,
2233.55,10,10,0,
2233.58,10,10,0,
2233.61,10,10,0,
2233.65,10,10,0,
2233.68,10,10,0,
2233.7,10,10,0,
2233.71,10,10,0,
2233.72,10,10,0,
2233.75,10,10,0,
2233.78,10,10,0,
2233.81,10,10,0,
2233.84,10,10,0,
2233.85,10,10,0,
2233.88,10,10,0,
2233.89,10,10,0,
2233.9,10,10,0,
2233.91,10,10,0,
2233.92,10,10,0,
2233.95,10,10,0,
2233.99,10,10,0,
2234.03,10,10,0,
2234.06,10,10,0,
2234.07,10,10,0,
2234.1,10,10,0,
2234.11,10,10,0,
2234.12,10,10,0,
2234.13,10,10,0,
2234.16,10,10,0,
2234.17,10,10,0,
2234.2,10,10,0,
2234.21,10,10,0,
2234.22,10,10,0,
2234.23,10,10,0,
2234.26,10,10,0,
2234.27,10,10,0,
2234.3,10,10,0,
2234.31,10,10,0,
2234.32,10,10,0,
2234.33,10,10,0,
2234.34,10,10,0,
2234.37,10,10,0,
2234.42,10,10,0,
2234.43,10,10,0,
2234.44,10,10,0,
2234.47,10,10,0,
2234.5,10,10,0,
2234.53,10,10,0,
